ID_produto,Nome_produto,Valor_produto,PNG_produto
2000,Mouse Gamer Logitech G502 HERO,399.90,0.35
2001,Mouse Logitech M185 Wireless,79.90,0.55
2002,Mouse Razer DeathAdder Essential,249.90,0.38
2003,Mouse HyperX Pulsefire Core,199.90,0.40
2004,Mouse Gamer Redragon Cobra,129.90,0.60
2005,Mouse Logitech MX Master 3S,799.90,0.30
2006,Mouse Razer Basilisk V3,499.90,0.34
2007,Mouse Multilaser MO251,59.90,0.65
2008,Mouse Gamer Fortrek Spider,89.90,0.62
2009,Mouse Logitech G203 Lightsync,169.90,0.45
2010,Teclado Mecânico Logitech G Pro,899.90,0.32
2011,Teclado Logitech K120,99.90,0.60
2012,Teclado Mecânico Razer BlackWidow V3,1099.90,0.28
2013,Teclado HyperX Alloy FPS Pro,699.90,0.35
2014,Teclado Gamer Redragon Kumara,279.90,0.50
2015,Teclado Logitech MX Keys,699.90,0.34
2016,Teclado Gamer Fortrek Black Hawk,199.90,0.55
2017,Teclado Multilaser Slim TC193,89.90,0.65
2018,Headset Gamer Logitech G733,799.90,0.33
2019,Headset Razer Kraken X,349.90,0.42
2020,Headset HyperX Cloud II,899.90,0.30
2021,Headset Gamer Redragon Zeus,399.90,0.45
2022,Headset Multilaser Warrior,199.90,0.55
2023,Headset Logitech H390 USB,249.90,0.48
2024,Webcam Logitech C920 HD Pro,699.90,0.36
2025,Webcam Logitech C270,299.90,0.45
2026,Webcam Razer Kiyo,899.90,0.32
2027,Webcam Multilaser WC050,149.90,0.58
2028,Monitor Gamer LG Ultragear 27'',2499.90,0.25
2029,Monitor Dell P2422H 24'',1799.90,0.28
